"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"What should you do to make a complaint about the Police?<br><br>Write to the Chief Constable of the Police force<br>Write to your MP<br>Write a complaint letter to the House of Commons<br>Complain to the Police force directly"	"Write to the Chief Constable of the Police force"	"Anyone can make a complaint about the police by going to a police station or writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."	"Life in the UK"	
"Can the anthem ‘God save the queen’ be played only in presence of the Queen?<br><br>False<br>True"	"False"	"You can play the Anthem in anyone’s presence"	"Life in the UK"	
"What is your responsibility as UK citizen? Select TWO answers.
<br><br>To go to your local pub<br>To vote in local and national government elections<br>To earn money<br>To help and protect your family"	"To vote in local and national government elections<br>To help and protect your family"	"Although Britain is one of the world’s most diverse societies, there is a set of shared values and responsibilities that everyone can agree with. These values and responsibilities include:"	"Life in the UK"	
"What is the money limit for the small claims procedure in England and Wales?<br><br>£10000<br>£3000<br>£2000<br>£4000"	"£10000"	"The small claims procedure is an informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer. This procedure is used for claims of less than £10,000 in England and Wales; £5,000 in Scotland and £3,000 in Northern Ireland."	"Life in the UK"	
"Which is a famous area in London for theatres?<br><br>East End<br>West End<br>The City<br>South End"	"West End"	"There are theaters in most towns and cities throughout the UK, ranging from the large to the small. They are an important part of local communities and often show both professional and amateur productions. London’s West End, also known as ‘Theatreland’, is particularly well known. The Mousetrap, a murder-mystery play by Dame Agatha Christie, has been running in the West End since 1952 and has had the longest initial run of any show in history."	"Life in the UK"	
"Which comedy double act by Nick Park won many Oscars?<br><br>Thelma and Louise<br>Gavin and Stacey<br>Wallace and Gromit<br>Laurel and Hardy"	"Wallace and Gromit"	"Nick Park, who has won four Oscars for his animated films, including three for films featuring Wallace and Gromit."	"Life in the UK"	
"What is a good way to support your local community?<br><br>Buying good from large supermarkets<br>Driving everywhere<br>Donating to boost the economy<br>Shop for products locally where you can"	"Shop for products locally where you can"	"A good way to support your local community is to shop for products locally where you can. This will help businesses and farmers in your area and in Britain. It will also reduce your carbon footprint, because the products you buy will not have had to travel as far. "	"Life in the UK"	
"The band called Beatles was popular and some alteration to social laws occured during which period?<br><br>1950s<br>1980s<br>1970s<br>1960s"	"1960s"	"The decade of the 1960s was a period of significant social change. It was known as ‘the Swinging Sixties’. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time were The Beatles and The Rolling Stones. It was also a time when social laws were liberalised, for example in relation to divorce and to abortion in England, Wales and Scotland. The position of women in the workplace also improved."	"Life in the UK"	
"It is compulsory to join National Citizen Service programme for 16 and 17 year olds<br><br>True<br>False"	"False"	"There are many opportunities for young people to volunteer and receive accreditation which will help them to develop their skills. These include the National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project."	"Life in the UK"	
"Many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle. What was this known as?<br><br>Highland Clearances<br>Pocket Boroughs<br>Feudalism<br>The rebellion of the landlords"	"Highland Clearances"	"A process began which became known as the ‘Highland Clearances’. Many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle. Evictions became very common in the early 19th century. Many Scottish people left for North America at this time."	"Life in the UK"	
"Where was Rudyard Kipling born?<br><br>India<br>England<br>Spain<br>France"	"India"	"Rudyard Kipling was born in India in 1865 and later lived in India, the UK and the USA. He wrote books and poems set in both India and the UK. His poems and novels reflected the idea that the British Empire was a force for good. Kipling was awarded the Nobel Prize in Literature in 1907."	"Life in the UK"	
"Wales and Scotland use a system called ‘individual registration’.  All those entitled to vote must complete their own registration forms<br><br>Trues<br>False"	"False"	"In Northern Ireland a system called ‘individual registration’ operates and all those entitled to vote must complete their own registration form. Once registered, people stay on the register provided their personal details do not change."	"Life in the UK"	
"In 1745, who was supported by clansmen from the Scottish highlands and raised an army?<br><br>Robert the Bruce<br>Oliver Cromwell<br>Bonnie Prince Charlie<br>Kenneth MacAlpin"	"Bonnie Prince Charlie"	"In 1745 there was another attempt to put a Stuart king back on the throne in place of George I’s son, George II. Charles Edward Stuart (Bonnie Prince Charlie), the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised an army. Charles initially had some successes but was defeated by George II’s army at the Battle of Culloden in 1746. Charles escaped back to Europe."	"Life in the UK"	
"William defeated James II at the Battle of the Boyne in Ireland in 1690. This event is celebrated in which country?<br><br>Northern Ireland<br>England<br>Scotland<br>Wales"	"Northern Ireland"	"William defeated James II at the Battle of the Boyne in Ireland in 1690, an event which is still celebrated by some in Northern Ireland today. William re-conquered Ireland and James fled back to France."	"Life in the UK"	
"What country did Hitler invade in 1939?<br><br>Poland<br>Italy<br>USSR<br>The USA"	"Poland"	"The British government tried to avoid another war. However, when Hitler invaded Poland in 1939, Britain and France declared war in order to stop his aggression."	"Life in the UK"	
"Who is Sir Edward Elgar(1857-1934)?<br><br>A musician<br>An actor<br>A doctor<br>A politician"	"A musician"	"Sir Edward Elgar (1857–1934) was born in Worcester, England. His best-known work is probably the Pomp and Circumstance Marches. March No 1 (Land of Hope and Glory) is usually played at the Last Night of the Proms at the Royal Albert Hall."	"Life in the UK"	
"What are traditional pub games? (Select TWO)<br><br>Pool<br>Darts<br>Lottery<br>Slots"	"Pool<br>Darts"	"Most communities will have a ‘local’ pub that is a natural focal point for social activities. Pub quizzes are popular. Pool and darts are traditional pub games."	"Life in the UK"	
"In year 1066, William the Conqueror invaded England in which battle?<br><br>Battle of Hastings<br>Battle of Britain<br>Battle of Agincourt<br>Battle of Culloden"	"Battle of Hastings"	"In 1066, an invasion led by William, the Duke of Normandy (in what is now northern France), defeated Harold, the Saxon king of England, at the Battle of Hastings. Harold was killed in the battle. William became king of England and is known as William the Conqueror. The battle is commemorated in a great piece of embroidery, known as the Bayeux Tapestry, which can still be seen in France today. "	"Life in the UK"	
